what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321794396812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321794397797
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321796432174
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321796441060
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321796443593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321796448265
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321798163323
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321798164799
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321798201895
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321798202878
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321798204368
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321798205969
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321798277282
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321798280629
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321798282871
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321798285231
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321798317274
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1321798350830
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321798352108
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321798365545
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321798367945
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321798369198
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321798369827
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321798408418
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321798410889
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321798431996
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1321798525583
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321798538285
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321798587259
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321798589341
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321798590061
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321798645667
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321798647832
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321798651065
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321798652520
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321798660985
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321798662679
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321798681517
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321798693662
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321798695377
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321798703384
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321798705431
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321798706914
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321798708612
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321798729477
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321798738677
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321798739879
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321798773444
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1321798790344
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321798791053
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321798792860
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321798793571
